Test Name,Description,Test Status,Test Owner,Saved for,Test Language,Test Expiry,,,,,,,,,,,,,,,,,,,
Pre-Eval 2% AM 101416 Fall 2016,New Test,Ready To Run,Nancy Carey,Cornell,English,11/11/2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,2% WHITE MILK ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,FL def,2009,Flat - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
2,C1,P607,CONTROL 1,Sample,,,,,,,,,,,,,,,,,,,,,
3,B def,2003,Bitter - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
4,C2,P608,CONTROL 2,Sample,,,,,,,,,,,,,,,,,,,,,
5,C3,P609,CONTROL 3,Sample,,,,,,,,,,,,,,,,,,,,,
6,LO def,2013,Light Oxidized - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
7,C4,P610,CONTROL 4,Sample,,,,,,,,,,,,,,,,,,,,,
8,C5,P611,CONTROL 5,Sample,,,,,,,,,,,,,,,,,,,,,
9,M def,2015,Malty - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,1,FL def,Flat - DEF,ap868,,,,,,,0.5,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,3,C1,CONTROL 1,ap868,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,5,B def,Bitter - DEF,ap868,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,7,C2,CONTROL 2,ap868,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,9,C3,CONTROL 3,ap868,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,8,LO def,Light Oxidized - DEF,ap868,,,,,,,,,,,,,,3,,,,,6,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,6,C4,CONTROL 4,ap868,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,4,C5,CONTROL 5,ap868,,,,,,,,,,,,,,,,,,,9.9,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,2,M def,Malty - DEF,ap868,,,,,,,,,,,,,0.8,,,,,,6,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,2,FL def,Flat - DEF,nrs13,,,,,,,2,,,,,,,,,,,0,8,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,1,C1,CONTROL 1,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,3,B def,Bitter - DEF,nrs13,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,5,C2,CONTROL 2,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,7,C3,CONTROL 3,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 101416 Fall 2016,2% WHITE MILK ,9,LO def,Light Oxidized - DEF,nrs13,,,,,,,,,,,2,,,,,,,,6,
